"","prod.group","food.norms"
"1","бобові",1.9
"2","борошно пшеничне",9.4
"3","вівсяна крупа",1.1
"4","гречана крупа",2
"5","інші крупи",0.5
"6","кава мелена",0.5
"7","макаронні вироби",4
"8","маргарин",2
"9","олія соняшникова",7.1
"10","пшоняна крупа",1
"11","рисова крупа",2.5
"12","спеції",0.3
"13","сухофрукти",4
"14","цукор",24
"15","чай",0.4
"16","сіль",3
"17","кондитерські вироби",13
"18","кефір",55
"19","ряжанка",5
"20","масло вершкове",5
"21","молоко",60
"22","сир м'який",10
"23","сир твердий",3.5
"24","сметана",5
"25","ковбасні вироби",9
"26","птиця",14
"27","сало",2
"28","свинина",8
"29","субпродукти",4
"30","яловичина",16
"31","буряки",9
"32","інші сезонні овочі",26
"33","капуста",28
"34","картопля",95
"35","квашені овочі",3
"36","морква",9
"37","огірки",12.5
"38","помідори",12.5
"39","фрукти, ягоди свіжі",60
"40","цибуля",9.1
"41","часник",0.9
"42","оселедеці",4
"43","риба заморожена",2
"44","риба свіжа, рибні продукти",7
"45","хліб житній",39
"46","хліб пшеничний",62
"47","яйця",220
