"","date","retailer","web.cat.name","prod.group","desc","price","metric.weight","metric.un","price.per.m.u"
"1",2023-09-07,"atb","341-boroshno","борошно пшеничне","борошно 2 кг розумний вибір пшеничне",28.6,2,"kg",14.3
"2",2023-09-07,"atb","341-boroshno","борошно пшеничне","борошно 5 кг розумний вибір пшеничне",74.7,5,"kg",14.94
"3",2023-09-07,"atb","341-boroshno","борошно пшеничне","борошно 1 кг розумний вибір пшеничне",15.3,1,"kg",15.3
"4",2023-09-07,"atb","341-boroshno","борошно пшеничне","борошно 5 кг хуторок пшеничне",88.9,5,"kg",17.78
"5",2023-09-07,"atb","341-boroshno","борошно пшеничне","борошно 2 кг хмельницьк-млин пшеничне",37.6,2,"kg",18.8
"6",2023-09-07,"atb","341-boroshno","борошно пшеничне","борошно 1,8 кг хуторок пшеничне",35.6,1.8,"kg",19.778
"7",2023-09-07,"atb","341-boroshno","борошно пшеничне","борошно 1 кг  хуторок пшеничне вищий ґатунок",19.9,1,"kg",19.9
"8",2023-09-07,"atb","286-kava-kakao","кава мелена","кава 225г fort intense taste мелена",78.6,225,"g",349.333
"9",2023-09-07,"atb","286-kava-kakao","кава мелена","кава 230г jacobs monarch espresso мелена",100.9,230,"g",438.696
"10",2023-09-07,"atb","286-kava-kakao","кава мелена","кава 225 г кава зі львова з ароматом ""ірландський крем"" мелена",144.9,225,"g",644
"11",2023-09-07,"atb","286-kava-kakao","кава мелена","кава 225 г + 25 г ambassador premium натуральна смажена мелена",154.9,225,"g",688.444
"12",2023-09-07,"atb","468-solinnya-salati","квашені овочі","капуста 0,9 кг розумний вибір квашена",82.8,0.9,"kg",92
"13",2023-09-07,"atb","468-solinnya-salati","квашені овочі","капуста 400г розумний вибір квашена з журавлиною",38.9,400,"g",97.25
"14",2023-09-07,"atb","468-solinnya-salati","квашені овочі","морква 350г розумний вибір по-корейськи",38.9,350,"g",111.143
"15",2023-09-07,"atb","468-solinnya-salati","квашені овочі","морська капуста 0,5 кг розумний вибір",62.9,0.5,"kg",125.8
"16",2023-09-07,"atb","316-kislomolochni-napoi","кефір","кефір 0,9 кг своя лінія нежирний",28.8,0.9,"kg",32
"17",2023-09-07,"atb","316-kislomolochni-napoi","кефір","кефір 0,9 кг своя лінія 2,5%",34.4,0.9,"kg",38.222
"18",2023-09-07,"atb","316-kislomolochni-napoi","кефір","кефір 0,9 кг молокія 2,5%",36.6,0.9,"kg",40.667
"19",2023-09-07,"atb","316-kislomolochni-napoi","кефір","кефір 0,87 кг молокія густий 1%",35.7,0.87,"kg",41.034
"20",2023-09-07,"atb","316-kislomolochni-napoi","кефір","кефір 0,8 кг злагода з вітамінами 1 %",32.9,0.8,"kg",41.125
"21",2023-09-07,"atb","316-kislomolochni-napoi","кефір","кефір 400 г яготинський 2,5% п/ет",16.7,400,"g",41.75
"22",2023-09-07,"atb","316-kislomolochni-napoi","кефір","кефір 0,9 кг яготинський 2,5%",38.4,0.9,"kg",42.667
"23",2023-09-07,"atb","316-kislomolochni-napoi","кефір","кефір 400г молокія 1%",17.8,400,"g",44.5
"24",2023-09-07,"atb","316-kislomolochni-napoi","кефір","кефір 0,87 кг галичина карпатський нежирний",38.9,0.87,"kg",44.713
"25",2023-09-07,"atb","316-kislomolochni-napoi","кефір","кефір 0,87 кг галичина карпатський 2,5%",38.9,0.87,"kg",44.713
"26",2023-09-07,"atb","316-kislomolochni-napoi","кефір","кефір 400г молокія 2,5%",18.9,400,"g",47.25
"27",2023-09-07,"atb","316-kislomolochni-napoi","кефір","кефір 420г галичина 2,5%",20.3,420,"g",48.333
"28",2023-09-07,"atb","316-kislomolochni-napoi","кефір","кефір 0,84 кг ферма 2,5%",40.9,0.84,"kg",48.69
"29",2023-09-07,"atb","316-kislomolochni-napoi","кефір","кефір 0,84 кг ферма 1%",40.9,0.84,"kg",48.69
"30",2023-09-07,"atb","316-kislomolochni-napoi","кефір","кефір 0,87 кг простоквашино 1%",42.6,0.87,"kg",48.966
"31",2023-09-07,"atb","316-kislomolochni-napoi","кефір","кефір 0,87 кг молокія густий 2,5%",42.8,0.87,"kg",49.195
"32",2023-09-07,"atb","316-kislomolochni-napoi","ряжанка","ряжанка 400 г галичанська 4%",21.5,400,"g",53.75
"33",2023-09-07,"atb","316-kislomolochni-napoi","ряжанка","ряжанка 450 г яготинська 4%",27.9,450,"g",62
"34",2023-09-07,"atb","425-kovbasa-varena","ковбасні вироби","ковбаса 0,5 кг м'ясна лавка до пюрешки вар",58.9,0.5,"kg",117.8
"35",2023-09-07,"atb","425-kovbasa-varena","ковбасні вироби","ковбаса 300 г ковбасний ряд/розумний вибір куряча вар",43.8,300,"g",146
"36",2023-09-07,"atb","425-kovbasa-varena","ковбасні вироби","ковбаса 0,55 кг своя лінія яловича люкс вар вектор",112.3,0.55,"kg",204.182
"37",2023-09-07,"atb","425-kovbasa-varena","ковбасні вироби","ковбаса 400 г м'ясна лавка/своя лінія тигреня вар",82.4,400,"g",206
"38",2023-09-07,"atb","425-kovbasa-varena","ковбасні вироби","ковбаса 0,55 кг м'ясна лавка/своя лінія лікарська дсту вар вектор",114.5,0.55,"kg",208.182
"39",2023-09-07,"atb","425-kovbasa-varena","ковбасні вироби","ковбаса 0,55 кг м'ясна лавка/своя лінія молочна дсту вар вектор",117.4,0.55,"kg",213.455
"40",2023-09-07,"atb","428-kovbasa-vareno-kopchena-napivkopchena","ковбасні вироби","ковбаса 420 г своя лінія салямі фінська н/к",90.6,420,"g",215.714
"41",2023-09-07,"atb","425-kovbasa-varena","ковбасні вироби","ковбаса 400 г м'ясна лавка/своя лінія вершкова вар",89.4,400,"g",223.5
"42",2023-09-07,"atb","403-kovbasa-sirov-yalena-sirokopchena","ковбасні вироби","ковбаса м'ясна лавка/своя лінія салямі болгарська с/к",239.99,1,"kg",239.99
"43",2023-09-07,"atb","428-kovbasa-vareno-kopchena-napivkopchena","ковбасні вироби","ковбаса 420 г м'ясна лавка/своя лінія губернська н/к",100.9,420,"g",240.238
"44",2023-09-07,"atb","428-kovbasa-vareno-kopchena-napivkopchena","ковбасні вироби","ковбаса 400 г м'ясна лавка/своя лінія австрійська к/з",99.8,400,"g",249.5
"45",2023-09-07,"atb","425-kovbasa-varena","ковбасні вироби","ковбаса 0,5 кг добров лікарська вар",141.8,0.5,"kg",283.6
"46",2023-09-07,"atb","425-kovbasa-varena","ковбасні вироби","ковбаса добров лікарська дсту вар",295.89,1,"kg",295.89
"47",2023-09-07,"atb","425-kovbasa-varena","ковбасні вироби","ковбаса добров елітна зі свининою вар",302.1,1,"kg",302.1
"48",2023-09-07,"atb","425-kovbasa-varena","ковбасні вироби","ковбаса добров любительська дсту вар",306.99,1,"kg",306.99
"49",2023-09-07,"atb","428-kovbasa-vareno-kopchena-napivkopchena","ковбасні вироби","ковбаса м'ясна лавка/своя лінія  салямі мускатна н/к",317.99,1,"kg",317.99
"50",2023-09-07,"atb","428-kovbasa-vareno-kopchena-napivkopchena","ковбасні вироби","ковбаса 0,5 кг м'ясна лавка/своя лінія шинкова н/к",159.8,0.5,"kg",319.6
"51",2023-09-07,"atb","428-kovbasa-vareno-kopchena-napivkopchena","ковбасні вироби","ковбаса 80 г добров салямі преміум н/к нарізка",27.2,80,"g",340
"52",2023-09-07,"atb","428-kovbasa-vareno-kopchena-napivkopchena","ковбасні вироби","ковбаса м'ясна лавка/своя лінія краківська н/к",346.79,1,"kg",346.79
"53",2023-09-07,"atb","425-kovbasa-varena","ковбасні вироби","ковбаса 0,5 кг добров шинко-рубана вар",176.7,0.5,"kg",353.4
"54",2023-09-07,"atb","403-kovbasa-sirov-yalena-sirokopchena","ковбасні вироби","ковбаса м'ясна лавка паппероні с/к",360.1,1,"kg",360.1
"55",2023-09-07,"atb","428-kovbasa-vareno-kopchena-napivkopchena","ковбасні вироби","ковбаса 320 г добров дрогобицька н/к",120.6,320,"g",376.875
"56",2023-09-07,"atb","428-kovbasa-vareno-kopchena-napivkopchena","ковбасні вироби","ковбаса 320 г добров салямі преміум н/к",122.5,320,"g",382.812
